system:index,Aspect,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Clay_Alteration_Index,Elevation,Ferrous_Index,Iron_Oxide_Index,NBR,NDMI,NDRE,NDVI,NIR_Red_Ratio,NIR_SWIR2_Ratio,Red_Green_Ratio,SWIR_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,SWIR_Red_Ratio,Slope,VH,VV,VV_VH_Difference,latitude,longitude,.geo
0_0_0,90.0,1968.5,1117.5,652.0,842.0,743.0,1276.0,2500.5,2811.0,2963.5,3101.5,1.7615212,274.0,0.3770879,1.1395706,0.45234013,0.20174372,0.41701886,0.5990827,3.98856,2.6519015,0.8824228,2.337886,0.66424835,0.56769115,2.6493943,0.9954245,-17.896425,-11.270374,6.626051,21.305,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,270.0,2490.5,1604.0,712.5,942.5,973.5,1432.5,2228.5,2510.0,2569.5,2794.0,1.5526809,276.0,0.62424594,1.3663158,0.2313406,0.015612648,0.32213417,0.4504657,2.6394453,1.6019326,1.0328913,2.6424403,0.96925473,0.6440474,2.5582948,0.49778372,-15.804643,-9.986291,5.818352,21.315,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,180.0,2530.0,1577.0,760.5,1030.5,1039.0,1583.5,2403.5,2706.5,2763.0,2995.0,1.604312,280.0,0.57075644,1.3662064,0.2732719,0.044020403,0.30828875,0.45344555,2.6592877,1.7520609,1.0082484,2.455119,0.91567135,0.62332016,2.4350338,0.92740995,-16.438828,-9.809061,6.629767,21.325,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,227.03215,2299.5,1345.5,662.5,925.5,902.0,1477.5,2384.5,2737.5,2819.0,3016.5,1.7090302,287.0,0.47729692,1.3615094,0.353824,0.10149458,0.3424566,0.5151841,3.1252773,2.0951319,0.9746083,2.484603,0.8157148,0.5851272,2.5493348,0.6803579,-16.05933,-9.776999,6.2823296,21.335,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,47.0341,2366.5,1426.5,693.5,977.0,984.0,1518.5,2281.5,2639.5,2704.5,2879.5,1.6589555,294.0,0.52745426,1.4188896,0.3093682,0.06665352,0.30945885,0.46644977,2.7484756,1.895899,1.0071648,2.422211,0.8750231,0.6027889,2.4049797,0.6803827,-16.985085,-10.264537,6.7205486,21.345,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,47.03605,2378.0,1759.5,756.5,1017.0,1078.0,1484.0,2286.5,2515.5,2679.0,2832.5,1.3515203,298.0,0.65677494,1.4249835,0.20716459,0.059521455,0.31240588,0.42613786,2.4851577,1.5225916,1.0599804,2.3382497,0.88764465,0.7399075,2.205937,0.6804076,-18.64716,-10.986409,7.6607494,21.355,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,227.03789,2656.5,1759.5,660.5,912.5,949.5,1476.0,2067.5,2334.5,2358.5,2571.5,1.5098039,302.0,0.746025,1.4375473,0.14545897,-0.059421733,0.2706609,0.42593712,2.483939,1.3404377,1.040548,2.911233,1.1263515,0.66233766,2.7977884,2.0405262,-16.3336,-9.886787,6.4468117,21.365,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,90.0,2391.0,1475.0,624.0,855.0,836.0,1442.0,2172.0,2479.0,2608.0,2771.0,1.621017,305.0,0.5655675,1.3397436,0.27749205,0.04340868,0.31545216,0.514518,3.1196172,1.7681355,0.9777778,2.7964911,0.9167945,0.6168967,2.8600478,0.9958997,-15.257841,-8.439733,6.818108,21.375,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,151.76558,3028.0,2100.0,793.0,1041.0,1201.0,1686.0,2354.0,2639.0,2701.0,2939.0,1.4419048,305.0,0.77748984,1.5145019,0.12518226,-0.057078023,0.2709189,0.38441825,2.2489593,1.2861905,1.1536983,2.9087417,1.1210662,0.6935271,2.5212324,1.0526291,-17.181726,-10.319865,6.8618617,21.384999999999998,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,132.95625,2264.0,1563.0,719.0,986.0,945.0,1417.0,2240.0,2516.0,2540.0,2730.0,1.4484965,311.0,0.61535436,1.3143255,0.23811845,0.057452124,0.31661442,0.45767576,2.6878307,1.62508,0.95841783,2.2961462,0.8913386,0.69037104,2.3957672,0.68050575,-15.754146,-8.736597,7.0175476,21.395,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,47.045704,1495.0,1073.0,613.0,814.0,768.0,961.0,1137.0,1254.0,1185.0,1320.0,1.3932898,317.0,0.9054852,1.2528548,0.049601417,-0.11567164,0.15738711,0.21351767,1.5429688,1.1043802,0.94348896,1.8366094,1.2616034,0.71772575,1.9466146,1.3608694,-18.169872,-11.187257,6.9826155,21.405,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,167.87529,2725.0,1778.0,687.0,1009.0,1052.0,1580.0,2221.0,2503.0,2587.0,2759.0,1.5326209,331.0,0.68728256,1.5312955,0.18533792,-0.025978915,0.2717216,0.42181918,2.4591255,1.4550056,1.0426165,2.7006938,1.0533437,0.6524771,2.5903041,2.3702788,-16.123478,-9.153036,6.9704423,21.415,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
