system:index,Aspect,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Distance_Mn,Elevation,NDVI,NIR_Red_Ratio,Red_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,Slope,VH,VV,VV_VH_Difference,label,latitude,longitude,.geo,geo_age,geo_supergroup,geo_group,geo_formation,geo_lithology,geo_intrusive,geo_stratigraphy,NDMI,NBR,NDRE,Iron_Oxide_Index,Clay_Alteration_Index,Ferrous_Index,SWIR_Red_Ratio,SWIR_Green_Ratio,NIR_SWIR2_Ratio,BSI,B11_B12_NormDiff,B8_B12_NormDiff,B4_B2_NormDiff,Sausar_Group_Proxy,Metamorphic_Host_Proxy,Geology_Unknown,Geo_Boundary_Distance_km,Geo_Boundary_Density_1km,Geo_Boundary_Density_3km,Lithology_Diversity_3km,Formation_Diversity_3km,Aspect_Sin,Aspect_Cos
2_1375_0,252.81775,1726.5,908.5,405.5,558.5,494.0,892.0,1662.0,1913.5,2039.5,2181.0,463409.5000105199,643,0.61002564,4.1285425101214575,0.8845120859444942,0.8465310125030645,1.9003852504127683,6.254339,-17.067362340851627,-10.67384373933969,6.393518601511937,0,21.93052611544568,80.58117168949559,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC - MESOPROTEROZOIC,,CHILPI,,PHYLLITE,,PALAEOPROTEROZOIC-MESOPROTEROZOIC-PHYLLITE,0.0831120552089452,0.3836499320272558,0.4194598111228572,1.2182490722114696,1.9003852483209849,0.4454523165258875,3.4949392641802848,3.091316019532111,2.244909188503127,-0.0481191726399916,0.3104364325197585,0.3836499320272558,0.0983879932202468,0,1,0,0.6854316216064539,66,121,6,0,-0.9553699254341506,-0.2954120944984238
1_32_0,270.0,2510.0,1622.0,702.5,903.0,971.5,1323.5,1933.0,2141.0,2287.0,2358.5,50.0,354,0.40371338,2.354091610910962,1.075858250276855,1.0975076519457805,1.5474722564734895,0.99824005,-18.191651536553547,-10.895872445587738,7.295779090965809,1,21.715469436427465,79.7492419048725,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE,-0.0464873879411116,0.1701202353107904,0.2810972296900876,1.382918147497625,1.5474722555194376,0.7092260600309462,2.583633553696723,2.779623474219686,1.4099876686744834,0.0760315252548243,0.2149080347979409,0.1701202353107904,0.1606929509195382,0,1,0,0.0784021383033509,44,77,3,1,-1.0,-1.8369701987210294e-16
2_240_0,220.80734,1992.0,1120.0,509.0,677.0,613.0,1072.5,1775.5,2081.75,2295.5,2333.0,463409.5000105199,337,0.5784769,3.744698205546493,0.9054652880354506,0.8677847963406665,1.7785714285714285,6.10362,-14.439209767158658,-7.827525673162569,6.6116840939960895,0,22.093839834098603,80.07856428803072,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE,0.0707871719951516,0.3441663005872738,0.3701365437174757,1.204322198026872,1.7785714269834183,0.4879111302601128,3.2495921643562933,2.94239290555038,2.0495535695986127,-0.0368795637236566,0.2802056554369519,0.3441663005872738,0.0926916220207739,0,1,0,1.6098850404834728,22,77,3,1,-0.6535175751201373,-0.7569113415777938
2_1256_0,28.283451,2401.25,1512.5,512.3376470588236,705.1,665.1428571428571,1189.0,1983.0,2324.333333333333,2529.925,2587.5,2444.7699278255204,349,0.583644,3.803581400343643,0.9433312397430962,0.9491388084627014,1.587603305785124,2.1055152,-15.478063661327283,-9.14936554952778,6.328698111799504,0,21.68286059161392,79.60290634508944,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,BICHUA,MARBLE,,PALAEOPROTEROZOIC-MARBLE,0.0260941864715622,0.2516867968480091,0.3703164304593363,1.2982509867525671,1.5876033047354687,0.5978438093627899,3.610126712785463,3.405545307891724,1.6726776848445106,0.0039501671134483,0.2270839986644308,0.2516867968480091,0.1297730275864404,1,1,0,0.2992047295562056,44,99,4,3,0.4738338770056122,0.8806142498289647
1_445_0,327.12573,2161.0,1296.0,633.0,804.0,859.0,1205.0,1850.0,2131.0,2267.0,2322.0,67.0820393249937,314,0.45041588,2.639115250291036,1.068407960199005,0.953242170269078,1.6674382716049383,5.5046763,-17.189974384992013,-11.067820521112134,6.122153863879879,1,21.81760788423185,80.16830598491426,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,PHYLLITE,,PALAEOPROTEROZOIC-PHYLLITE,0.0239385727136543,0.2725231545684751,0.3166997447358379,1.357030013653981,1.6674382703183346,0.5716806349485308,2.515715945848992,2.687810941930584,1.749228393712015,0.0202702702668462,0.2502169510413026,0.2725231545684751,0.1514745307295747,1,1,0,0.7310124339038153,66,77,5,2,-0.5427973443999955,0.83986370496189
2_637_0,252.84488,1537.5,816.5,361.5,547.5,462.0,872.0,1710.0,1957.5,2169.0,2277.0,463409.5000105199,556,0.64880276,4.694805194805195,0.8438356164383561,0.7088520055325035,1.883037354562156,3.141314,-16.203756814341894,-8.83745956317956,7.366297251162333,0,22.167950845038465,80.39683739319426,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,JUNEWANI,GREY & PINK GNEISS/QTZ-BIOTITE-SILLIMANITE GNEISS,,PALAEOPROTEROZOIC-GREY-PINK-GNEISS-QTZ-BIOTITE-SILLIMANITE-GNEISS,0.170376365797821,0.4530229440787061,0.4461733882355753,1.278008295219894,1.883037352255925,0.3764407559352509,3.3279220707187838,2.808219172953024,2.656460498889822,-0.1172185430204815,0.3062871706430386,0.4530229440787061,0.1220400727115481,1,1,0,1.0973599613478209,33,44,4,2,-0.9555096982660012,-0.2949596862617249
1_37_0,65.04438,1151.0,900.0,694.0,856.0,837.0,1129.0,1128.0,1182.0,1092.0,1191.0,41.23105625617661,282,0.13219285,1.3046594982078854,0.977803738317757,1.054029304029304,1.278888888888889,2.197205,-26.055303343302786,-15.246630193485974,10.808673149816808,1,21.451095248311084,79.76702854749807,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,CHORBAOLI,QUARTZITE,,PALAEOPROTEROZOIC-QUARTZITE,-0.0263040570547017,0.0963855421202883,0.0267241379195154,1.2060518714610204,1.2788888874679012,0.8241758234210843,1.3751493412483282,1.344626166653474,1.2133333319851851,0.0535241123334594,0.122379327097816,0.0963855421202883,0.0934030045111672,1,1,0,0.4237653772129668,66,165,7,2,0.9066348655622152,0.4219161297544622
1_413_0,28.305605,1969.0,1077.0,566.0,743.0,713.0,1204.0,1991.0,2315.0,2485.0,2541.0,40.0,314,0.5540963,3.485273492286115,0.9596231493943472,0.792354124748491,1.828226555246054,8.367607,-14.60654995562857,-7.661973793164845,6.944576162463725,1,21.8157214221352,80.16668901740285,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,PHYLLITE,,PALAEOPROTEROZOIC-PHYLLITE,0.1158509204948695,0.3952835484572478,0.3570093456990629,1.2597173122619836,1.828226553548536,0.4334004022400803,2.76157082361631,2.650067291184297,2.3073351882011743,-0.0643642072101231,0.2928430727863286,0.3952835484572478,0.1149335417396923,1,1,0,0.5436238957398847,66,77,5,2,0.4741743400959667,0.8804309712831293
2_1381_0,-0.0,2143.0,1563.5,669.5,897.3333333333334,1011.0,1336.5,1881.5,2059.25,2074.5,2217.5,4208.336963694804,328,0.3446767,2.051928783382789,1.12667161961367,1.0330200048204388,1.3706427886152863,0.0,-17.713565900047755,-9.80334153232827,7.910224367719485,0,21.96017051982162,80.0416435298534,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE,-0.0162418494330191,0.1404617921549033,0.2478897016747637,1.5100821486033127,1.3706427877386358,0.7536755841148829,2.119683479604665,2.388187218735304,1.3268308274212786,0.0695150898491836,0.1563469580044929,0.1404617921549033,0.2032133292453357,0,1,0,1.4259307501656422,33,44,4,1,-0.0,1.0
2_1380_0,270.0,2584.0,1696.0,699.5,891.0,1031.5,1395.5,1987.5,2234.5,2371.0,2564.0,1501.5325504297268,344,0.3936811,2.298594280174503,1.1576879910213242,1.0898355124420076,1.5235849056603774,0.9983191,-15.982250696293203,-9.555077347327344,6.427173348965862,0,21.727057703592603,79.7891271034874,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE,-0.0429868819287614,0.1659700024180059,0.2951130192460884,1.4746247298432813,1.5235849047620371,0.7153099954806791,2.505089672801658,2.900112230190671,1.3979952821945782,0.0815136105172728,0.2074766354655428,0.1659700024180059,0.191796649224843,0,1,0,2.553936436071419,22,33,2,1,-1.0,-1.8369701987210294e-16
1_305_0,186.82715,2050.0,1205.0,514.0,738.0,732.0,1226.0,2005.0,2333.0,2394.0,2647.0,10.0,355,0.53166986,3.2704918032786887,0.991869918699187,0.8563074352548037,1.7012448132780082,8.347464,-13.817268403927576,-7.178592191849602,6.638676212077974,1,21.864769436648125,79.9807377535901,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE,0.0774077407566589,0.3303695470046208,0.3668990445734833,1.4241245108480067,1.7012448118661867,0.5033416873419626,2.8005464442615486,2.777777774013851,1.9867219900525128,-0.0221441124741398,0.2596006143595697,0.3303695470046208,0.1749598714486678,0,1,0,0.7470152811255311,44,88,5,2,-0.1188744785451093,-0.9929092900918132
2_616_0,132.95013,3095.0,2222.0,758.0,1021.0,1205.0,1683.0,2347.0,2544.0,2682.0,2892.0,463409.5000105199,285,0.37998456,2.2257261410788383,1.1802154750244858,1.1539895600298284,1.3928892889288929,1.3609755,-17.01204006096785,-10.6834825407393,6.328557520228548,0,21.426032251884152,79.68267674231925,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,MUSCOVITE SCHIST,,PALAEOPROTEROZOIC-MUSCOVITE-SCHIST,-0.0714903929251358,0.0938009787736947,0.2642622950242049,1.589709760435739,1.39288928830203,0.8284862040162244,2.56846472815895,3.031341818774396,1.2070207015269934,0.1111111110967556,0.1641903328636091,0.0938009787736947,0.2277126845503246,1,1,0,0.0092576933340752,33,55,4,2,0.7319470329502173,-0.6813615346901918
2_563_0,312.91925,3933.5,2929.5,918.0,1227.0,1458.0,1902.0,2417.0,2708.5,2822.0,3041.0,463409.5000105199,300,0.31869158,1.935528120713306,1.1882640586797066,1.3938695960311835,1.342720600785117,4.079156,-19.049388031619724,-11.770513720310948,7.278874311308776,0,21.58341708966189,79.76379461247524,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE,-0.1645326030398145,-0.0186907763159713,0.2304268662289243,1.5882352923875434,1.3427206003267724,1.038093550305424,2.697873797875258,3.2057864684549413,0.9633043178141988,0.1808574713704366,0.1462917091437721,-0.0186907763159713,0.2272727271770737,0,1,0,1.427943442954509,22,88,5,3,-0.7323141516533676,0.6809669472802689
2_51_0,132.89445,1897.5,1052.0,489.5,648.5,592.5,1097.0,2015.0,2361.0,2500.0,2608.0,463409.5000105199,379,0.61681485,4.219409282700422,0.9136468774094064,0.759,1.8037072243346008,4.081049,-14.333144559256604,-7.420834890081281,6.912309669175322,0,21.708732071796565,79.59562999128806,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,SITASAONGI,QUARTZ MUSCOVITE SCHIST,,PALAEOPROTEROZOIC-QUARTZ-MUSCOVITE-SCHIST,0.1370096645509926,0.4076576575428892,0.4078272603487646,1.210418792215692,1.80370722262005,0.42079999983168,3.202531640164504,2.9259830332675665,2.376425853254348,-0.0911579523512805,0.2866587556241198,0.4076576575428892,0.0951940849397466,1,1,0,0.0962799047850187,44,99,5,4,0.7326088339040581,-0.6806499074309319
1_250_0,270.0,1551.0,816.5,370.0,526.0,407.0,842.0,1789.0,2162.5,2318.5,2440.0,22.36067977499789,445,0.7013392,5.696560196560196,0.7737642585551331,0.6689670045287902,1.8995713410900184,1.0002335,-13.953241801165852,-7.128201924946232,6.82503987621962,1,22.000594707607,80.23352367454133,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,BIOTITE SCHIST,,PALAEOPROTEROZOIC-BIOTITE-SCHIST,0.1983460394887334,0.4791068579014013,0.4868982326365331,1.099999997027027,1.8995713387635376,0.352167349427575,3.81081080144764,2.9486691959150777,2.8395590902148693,-0.1572151081120811,0.3102428720970463,0.4791068579014013,0.0476190475577618,1,1,0,0.0656685789044666,55,143,6,3,-1.0,-1.8369701987210294e-16
2_264_0,238.28484,1633.0,796.5,352.0,514.5,437.0,835.0,1783.0,2137.5,2347.5,2341.5,1280.8200498118383,457,0.6861196,5.371853546910756,0.8493683187560739,0.6956336528221512,2.0502197112366605,7.021862,-17.250009610876745,-10.517969451554285,6.732040159322462,0,22.0329340578353,80.2437644687803,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,JUNEWANI,GREY & PINK GNEISS/QTZ-BIOTITE-SILLIMANITE GNEISS,,PALAEOPROTEROZOIC-GREY-PINK-GNEISS-QTZ-BIOTITE-SILLIMANITE-GNEISS,0.1795000627610853,0.4933206105301143,0.4742641270347036,1.2414772692003486,2.0502197086626244,0.3392971244561035,3.736842096712032,3.173955290235267,2.9472692995012317,-0.1319844847191562,0.3443095285678907,0.4933206105301143,0.107731305313395,1,1,0,0.0528573248566326,55,99,4,3,-0.8506720440932801,-0.5256967504162077
2_17_0,-0.0,2748.9666666666667,1889.8333333333333,703.5,947.8571428571428,1050.8,1442.6666666666667,2151.0,2392.1428571428573,2533.833333333333,2660.125,463409.5000105199,322,0.41371968,2.41133739373176,1.1086058779201204,1.0849042952048935,1.4546079901225857,3.7047918,-17.211003020091788,-10.544714274505337,6.666288745586451,0,22.04263586290379,80.12545634586175,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE,-0.0407233537693288,0.1455805892218565,0.2967390089357679,1.4936744825960562,1.454607989352884,0.7458396366194149,2.6160702931581614,2.900190903747601,1.3407707903655854,0.0799240217210796,0.1852059440260687,0.1455805892218565,0.1979707004514788,0,1,0,2.8508993802412306,22,33,3,2,-0.0,1.0
