system:index,Aspect,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Distance_Mn,Elevation,NDVI,NIR_Red_Ratio,Red_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,Slope,VH,VV,VV_VH_Difference,label,latitude,longitude,.geo,geo_age,geo_supergroup,geo_group,geo_formation,geo_lithology,geo_intrusive,geo_stratigraphy
1_0_0,-0.0,2795.0,2231.0,774.5,929.0,1054.5,1433.5,2026.0,2296.5,2399.0,2562.0,50.0,281,0.3893152,2.2750118539592226,1.135091496232508,1.165068778657774,1.2528014343343792,1.8543341,-16.74050361755398,-6.51489684399158,10.2256067735624,1,21.532482613052316,79.98235472110152,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
1_1_0,117.96805,2259.5,1922.5,726.4545454545455,886.0,1005.25,1332.0,1692.0,1777.3333333333333,1820.0,1968.0,10.0,325,0.28838155,1.81049490176573,1.1345936794582392,1.2414835164835163,1.175292587776333,7.861023,-12.83681152344607,-2.9653448165125957,9.871466706933475,1,21.683399580784396,79.72498739220127,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,SCHIST,,PALAEOPROTEROZOIC-SCHIST
1_2_0,-0.0,1215.0,1108.0,760.0,786.0,842.0,952.0,1043.0,1092.0,1072.0,1112.0,53.85164807134504,303,0.12016719,1.2731591448931117,1.0712468193384224,1.1333955223880596,1.0965703971119134,0.92740995,-18.026294642301885,-9.263367236385282,8.762927405916603,1,21.850486223630625,80.22543883698425,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,PHYLLITE,,PALAEOPROTEROZOIC-PHYLLITE
1_3_0,132.86362,2704.0,1901.0,632.0,835.0,853.0,1377.0,2080.0,2229.0,2208.0,2539.0,44.7213595499958,338,0.4426658,2.5885111371629543,1.0215568862275448,1.2246376811594204,1.422409258285113,5.437397,-19.365576861332418,-11.420793744193611,7.944783117138805,1,21.863421963721947,79.98019876441963,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
1_4_0,114.95574,2922.0,2035.0,711.0,1066.0,1108.0,1700.0,2444.0,2779.0,2921.0,3076.0,70.71067811865476,285,0.4499876,2.6362815884476536,1.0393996247654784,1.000342348510784,1.4358722358722358,2.1971948,-16.355217141299107,-10.160093052962054,6.195124088337053,1,21.45028676455538,79.76487259081618,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,CHORBAOLI,QUARTZITE,,PALAEOPROTEROZOIC-QUARTZITE
1_5_0,19.704397,323.0,222.0,468.0,624.0,515.0,566.0,457.0,456.0,393.0,377.0,50.99019513592785,281,-0.13436124,0.7631067961165049,0.8253205128205128,0.821882951653944,1.454954954954955,2.9529178,-27.383312633349966,-21.587510006435355,5.795802626914611,1,21.449747775384907,79.76810652583902,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,CHORBAOLI,QUARTZITE,,PALAEOPROTEROZOIC-QUARTZITE
1_6_0,141.0959,2033.5,1187.5,501.5,663.0,590.1666666666667,1038.0,1699.0,1918.0,2121.0,2213.6666666666665,14.142135623730953,329,0.56464005,3.593900028240609,0.890145801910508,0.9587458745874587,1.7124210526315788,4.756419,-14.934872632412617,-7.5461858593490385,7.388686773063578,1,21.66642142191453,79.66650706720509,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
1_7_0,-0.0,1206.0,1162.0,703.0,739.0,776.0,864.0,931.0,955.0,953.0,983.0,10.0,308,0.10237131,1.2280927835051547,1.0500676589986468,1.2654774396642183,1.0378657487091223,0.92740995,-16.658393298262897,-9.07213539337138,7.586257904891516,1,21.849947234460156,80.22705580449568,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,PHYLLITE,,PALAEOPROTEROZOIC-PHYLLITE
1_8_0,87.34261,1848.0,944.0,396.0,564.0,469.0,928.0,2049.0,2417.0,2390.0,2726.0,31.6227766016838,656,0.67191327,5.095948827292111,0.8315602836879432,0.7732217573221757,1.957627118644068,19.246607,-12.35740797430669,-6.44666380763681,5.910744166669881,1,21.833508064760768,80.36584551589215,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
1_9_0,28.245031,1772.0,1345.0,694.0,988.0,1017.0,1316.0,1366.0,1507.0,1392.0,1430.0,10.0,284,0.15566625,1.368731563421829,1.029352226720648,1.2729885057471264,1.317472118959108,4.203849,-25.442450753307767,-15.131351944055872,10.311098809251895,1,21.449747775384907,79.76675905291283,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,CHORBAOLI,QUARTZITE,,PALAEOPROTEROZOIC-QUARTZITE
1_10_0,180.0,2345.0,1486.0,484.0,700.0,614.0,1141.0,1820.0,2214.0,2035.0,2324.0,31.6227766016838,346,0.53642887,3.314332247557003,0.8771428571428571,1.1523341523341524,1.5780619111709286,10.096576,-15.126631246847786,-8.98243219415493,6.144199052692857,1,21.86423044747765,79.98154623734581,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
1_11_0,72.763725,605.0,420.0,590.0,806.0,789.0,987.0,855.0,934.0,804.0,782.0,0.0,283,0.009416196,1.0190114068441063,0.978908188585608,0.7524875621890548,1.4404761904761905,3.1269987,-25.95427472113268,-19.030256910062803,6.924017811069877,1,21.450017269970143,79.76675905291283,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,CHORBAOLI,QUARTZITE,,PALAEOPROTEROZOIC-QUARTZITE
1_12_0,160.26842,1995.5,1104.5,472.1666666666667,648.1666666666666,532.0,1055.9333333333334,1846.0,2170.0,2329.0,2438.6666666666665,41.23105625617661,329,0.62810206,4.37781954887218,0.8207765492414503,0.8568054959209961,1.806699864191942,2.9534192,-13.821060544502242,-6.65454807424879,7.166512470253451,1,21.66642142191453,79.66785454013127,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
1_13_0,173.18132,2752.916666666667,2488.0,997.4444444444443,1242.75,1477.0,1756.3000000000002,1902.0,2041.25,2001.5,2118.5,67.0820393249937,333,0.15078339,1.355111712931618,1.1884932609132972,1.375426763260888,1.1064777599142552,8.347319,-15.661536965996776,-7.937485815110833,7.724051150885943,1,21.68501654829581,79.72552638137175,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,SCHIST,,PALAEOPROTEROZOIC-SCHIST
1_14_0,139.21646,1589.5,1039.0,399.5,622.0,558.5,925.5,1506.0,1692.0,1655.5,1948.5,67.0820393249937,655,0.49548328,2.964189794091316,0.8979099678456591,0.9601328903654484,1.5298363811357074,6.101449,-13.950589131729249,-6.745970843968488,7.204618287760761,1,21.974992722009592,80.46825345828177,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,SCHIST,,PALAEOPROTEROZOIC-SCHIST
1_15_0,312.89273,2150.0,1287.0,650.0,850.5,790.5,1228.5,1847.0,2020.0,2146.0,2235.5,42.426406871192846,355,0.46160394,2.7147375079063885,0.929453262786596,1.0018639328984156,1.6705516705516703,1.3624417,-19.351591257944342,-11.52569619838368,7.825895059560667,1,21.71735589852411,79.7492419048725,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
1_16_0,312.86606,1975.0,1850.0,1199.0,1294.0,1325.0,1452.0,1561.0,1706.0,1670.0,1771.0,40.0,309,0.11519199,1.260377358490566,1.0239567233384854,1.1826347305389222,1.0675675675675675,1.3631248,-11.276311220083992,3.1708245885231285,14.447135808607122,1,21.851025212801098,80.22678630991044,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,PHYLLITE,,PALAEOPROTEROZOIC-PHYLLITE
1_17_0,352.76862,1623.0,782.0,388.0,543.5,429.0,863.0,1897.5,2254.5,2383.5,2475.5,50.0,452,0.69493335,5.555944055944056,0.7893284268629255,0.6809314033983638,2.075447570332481,15.503938,-14.889591169181044,-8.935910531885149,5.953680637295895,1,21.99924723468082,80.23433215829704,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,BIOTITE SCHIST,,PALAEOPROTEROZOIC-BIOTITE-SCHIST
1_18_0,-0.0,2992.5,2108.0,838.0,1064.0,1257.0,1605.5,2139.0,2367.0,2527.5,2605.5,40.0,355,0.33571145,2.010739856801909,1.181390977443609,1.1839762611275964,1.4195920303605314,1.8543341,-17.577902577922597,-9.624032091041144,7.953870486881453,1,21.716547414768403,79.74897241028727,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
